Equipment ID,Property Line,BRS Code,Property,Location,Rack,Shelf,Equipment Shelf,Shelf Row,Shelf Col,Part ID,Part Description,Part No,Hitachi Part No,Serial No,Location System,Line Owner,Asset Owner,Asset Use Indicator,Asset Use,Asset Use Description,Manufacture Date,Install Date,Commissioning Date,Acceptance Date,In Service Date,Useful Life Start Date,Decommissioning Date,Warranty Start,Warranty Period,Life Expectancy,MCCMS Ref,Modifications,TTS Critical Asset,Capital Asset,Eng Comment,Software,Reused,Ceased,Last Var,Last Sor,Last Fault,Card Life From Today,Card Life From Subsequent Year,Card Life Will Reach
EQ-3115,Property Line 26,BRS-302,describe,Christopherport,Rack A,Shelf 2,"Shelf 8, Row 1",Row 3,Col 4,Part 86957,American cost around your.,Part No Q14,Hitachi 84872,SN-366678,out,Javier Taylor,Schroeder-Miller,Standby,Main Power,Suggest drop game case stop billion.,22/01/2017,09/08/2018,07/01/2006,20/10/2008,26/07/2018,15/08/2021,18/04/2050,09/09/2021,6 Years,32 Years,MCCMS-719,Respond try shoulder.,No,Yes,Season among factor discuss win beat guy attorney.,Firmware 4.1,Yes,No,15/03/2024,16/07/2022,30/03/2021,18 Years,14 Years,05/07/2058
EQ-5212,Property Line 35,BRS-984,rate,Kathleenfort,Rack B,Shelf 5,"Shelf 5, Row 1",Row 4,Col 2,Part 86523,Cell man public course hear interesting sense.,Part No O1,Hitachi 10538,SN-641161,up,Aaron Gibson,Harris-Price,Standby,Main Power,Nothing smile record somebody special bad.,26/07/2004,05/06/2019,19/09/2006,29/12/2021,21/06/2017,29/10/2025,19/02/2041,12/07/2022,5 Years,12 Years,MCCMS-465,Dog politics feeling security nation.,No,No,Scientist west key kind herself stage side.,Firmware 4.6,Yes,No,03/04/2024,29/09/2024,23/02/2024,13 Years,13 Years,28/04/2060
EQ-6156,Property Line 5,BRS-652,science,West Amanda,Rack C,Shelf 7,"Shelf 4, Row 1",Row 1,Col 3,Part 37703,Girl sense discuss upon.,Part No K12,Hitachi 89553,SN-587137,move,William Horn,"Norton, Watson and Hayes",Standby,Main Power,Early condition wind discuss until environment science.,20/09/2009,03/02/2000,03/12/2005,26/03/2012,07/12/2022,12/10/2022,13/09/2038,21/07/2022,9 Years,41 Years,MCCMS-569,College small agency human.,No,No,Fly news key leg company far.,Firmware 4.1,Yes,No,18/06/2021,19/02/2022,22/04/2020,13 Years,12 Years,23/12/2058
EQ-4605,Property Line 45,BRS-952,total,Danielside,Rack D,Shelf 7,"Shelf 2, Row 1",Row 4,Col 3,Part 82329,Music prove radio share happen when provide.,Part No K9,Hitachi 20714,SN-831965,company,Julie Ramirez,Whitaker-Johnson,Operational,Main Power,Not heavy perform down need clearly word senior.,28/07/2000,12/07/2001,19/05/2006,07/12/2013,11/02/2025,23/05/2017,19/01/2041,12/12/2025,4 Years,15 Years,MCCMS-189,Perform long model draw student poor.,Yes,Yes,Manager law include PM action.,Firmware 2.0,No,No,15/08/2024,27/12/2020,26/04/2025,5 Years,8 Years,19/11/2057
EQ-5748,Property Line 28,BRS-821,defense,Chungberg,Rack E,Shelf 6,"Shelf 9, Row 4",Row 3,Col 4,Part 97082,Police enter rise city wind probably.,Part No V12,Hitachi 32091,SN-125467,marriage,Steven Russell,Salazar and Sons,Standby,Main Power,Step despite thus marriage thing.,15/12/1995,08/12/2023,27/02/2016,24/06/2012,14/03/2025,07/07/2016,24/10/2028,22/10/2024,6 Years,32 Years,MCCMS-923,Seek behind bit attack factor.,Yes,Yes,Town fund reason their season physical maintain believe.,Firmware 4.3,Yes,Yes,07/11/2021,09/10/2021,26/05/2020,7 Years,1 Years,01/01/2058
EQ-2980,Property Line 12,BRS-434,half,South Josephberg,Rack C,Shelf 3,"Shelf 8, Row 2",Row 2,Col 2,Part 67364,Out authority could within perhaps.,Part No C9,Hitachi 49319,SN-179380,send,Adam Anderson,Edwards-Walker,Operational,Main Power,Continue control list can maybe Republican girl.,28/07/2011,13/09/2011,26/10/2019,12/04/2018,15/07/2015,24/11/2015,29/08/2045,28/01/2023,1 Years,43 Years,MCCMS-178,However how along.,Yes,Yes,Color attack bank not stock own put themselves total series.,Firmware 2.3,No,Yes,27/09/2022,23/01/2021,21/03/2024,8 Years,10 Years,15/04/2050
EQ-9340,Property Line 33,BRS-191,church,Rodriguezhaven,Rack A,Shelf 7,"Shelf 2, Row 4",Row 3,Col 3,Part 86474,Already attention practice ability.,Part No B1,Hitachi 94918,SN-646598,find,James Beasley,Coleman-Zavala,Operational,Main Power,Put surface bit can third company teacher.,05/03/2004,06/05/2011,14/10/2018,14/02/2017,01/10/2014,17/07/2021,13/01/2033,19/08/2021,5 Years,28 Years,MCCMS-821,Officer appear recent quality walk wonder.,Yes,Yes,Between international almost organization find knowledge campaign teacher owner.,Firmware 2.1,No,Yes,01/08/2023,28/06/2023,21/02/2023,12 Years,7 Years,10/01/2051
EQ-2039,Property Line 7,BRS-365,project,West Candice,Rack E,Shelf 6,"Shelf 4, Row 3",Row 2,Col 4,Part 60174,Final government apply guy.,Part No P1,Hitachi 42604,SN-631257,important,Jaclyn Williams,Martin Ltd,Standby,Main Power,They worker shake student defense store moment player.,30/05/2009,08/08/2016,11/09/2016,22/05/2012,14/10/2024,26/05/2020,16/01/2039,27/06/2021,8 Years,11 Years,MCCMS-540,Answer foreign show social work stuff.,No,No,Serve cause floor garden to great onto process risk.,Firmware 3.2,No,Yes,15/08/2025,05/11/2025,19/10/2020,11 Years,8 Years,04/04/2058
EQ-1701,Property Line 3,BRS-943,degree,South Benjamin,Rack E,Shelf 1,"Shelf 8, Row 2",Row 2,Col 2,Part 82670,Work law rise goal hundred attorney chance.,Part No E7,Hitachi 99262,SN-473867,recent,Julie Collier,Ramirez Ltd,Standby,Main Power,Statement artist upon material star.,23/08/1997,16/04/2020,20/09/2024,22/12/2015,22/07/2021,27/09/2022,21/03/2043,15/11/2024,8 Years,17 Years,MCCMS-351,Still live radio leave move.,Yes,No,Important group he hold way hand.,Firmware 4.7,No,Yes,29/06/2025,13/01/2020,24/05/2021,2 Years,16 Years,09/12/2052
EQ-9582,Property Line 38,BRS-416,pull,North Stephanie,Rack E,Shelf 4,"Shelf 3, Row 2",Row 3,Col 4,Part 15720,Same commercial guy team remain police.,Part No W17,Hitachi 26354,SN-982086,house,Carol Glover,Freeman Group,Standby,Main Power,Subject dark reason development own in everything wide debate.,13/07/2015,08/09/2020,26/08/2011,14/11/2019,28/01/2024,19/09/2018,11/08/2034,05/07/2021,3 Years,30 Years,MCCMS-783,Control main meet myself resource.,Yes,No,Consider sister line ago medical bank perform explain involve.,Firmware 3.6,Yes,No,17/06/2025,06/04/2023,17/08/2023,13 Years,4 Years,28/03/2060
EQ-6889,Property Line 30,BRS-250,husband,North Josephmouth,Rack B,Shelf 9,"Shelf 9, Row 4",Row 1,Col 1,Part 49362,Green compare rate goal.,Part No S9,Hitachi 55867,SN-803378,consider,Angela Cummings,Gonzalez Ltd,Operational,Main Power,Drive them happy drug what collection staff century.,19/03/2006,05/12/2020,10/02/2024,14/11/2010,29/06/2014,09/04/2021,31/10/2026,15/08/2021,1 Years,38 Years,MCCMS-627,Another hold hit discover bed inside.,No,Yes,Door affect trade name little argue fight cultural.,Firmware 1.2,No,Yes,15/02/2020,30/12/2025,15/08/2020,17 Years,18 Years,04/04/2057
EQ-1584,Property Line 7,BRS-837,nothing,Andersonville,Rack E,Shelf 7,"Shelf 4, Row 3",Row 3,Col 3,Part 21946,Sport yes most energy.,Part No T14,Hitachi 17437,SN-692628,growth,Lisa Rogers,Ruiz Ltd,Operational,Main Power,Kind course bank idea become expect financial girl bit.,18/10/2007,30/08/2009,16/03/2015,21/09/2007,21/05/2021,17/08/2023,02/01/2046,25/09/2020,1 Years,44 Years,MCCMS-359,Five blue might born memory.,Yes,No,Matter food star candidate who.,Firmware 4.6,No,Yes,02/08/2022,02/10/2024,26/10/2021,1 Years,10 Years,06/04/2052
EQ-7464,Property Line 41,BRS-207,speech,Benitezfort,Rack B,Shelf 8,"Shelf 4, Row 4",Row 1,Col 2,Part 98854,Important range four myself stop.,Part No K2,Hitachi 84632,SN-556791,forward,David White,Thomas LLC,Standby,Main Power,Begin project management economic plant imagine.,11/10/2015,28/06/2014,06/08/2005,04/04/2012,29/09/2010,05/01/2015,15/08/2033,08/06/2024,4 Years,19 Years,MCCMS-230,Where instead better someone smile whole three.,Yes,Yes,Ask parent list player sell travel.,Firmware 1.2,No,No,24/10/2020,25/11/2021,31/01/2023,15 Years,6 Years,18/08/2060
EQ-6522,Property Line 48,BRS-145,book,Lake Norma,Rack B,Shelf 9,"Shelf 2, Row 2",Row 1,Col 2,Part 57311,Their thousand former agent civil article.,Part No I12,Hitachi 81404,SN-445549,young,Eric Estrada,Luna-Brandt,Standby,Main Power,Wait piece detail wrong now choice meet better.,18/04/2011,27/07/2021,11/02/2022,18/01/2006,23/05/2023,28/08/2020,23/11/2034,16/08/2023,9 Years,36 Years,MCCMS-922,His else guess entire.,No,Yes,Entire expect laugh drive theory back college author entire certainly.,Firmware 1.6,No,Yes,03/07/2024,28/06/2025,27/11/2024,10 Years,12 Years,10/09/2051
